filename,beta1,beta2,learning_rate,rel_inp_dropout,rel_hid_dropout,rel_hidden_dim,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V6_271_5fold_1_20200615151307,0.0,0.9,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151325/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151325/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151325/test/"" ",0.2299,0.4828,0.5799,0.7806,69.9634,0.3458,0.0039,0.3583,0.4597,0.6502,125.7211,0.17,0.0
C_S_V6_271_5fold_1_20200615151407,0.0,1.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151426/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151426/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151426/test/"" ",0.2341,0.4911,0.5862,0.7879,69.3887,0.3542,0.0026,0.368,0.4759,0.6691,123.472,0.1749,0.0039
C_S_V6_271_5fold_1_20200615151507,0.1,0.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151528/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151528/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615151528/test/"" ",0.0805,0.1818,0.2414,0.3793,194.953,0.1338,0.0416,0.1658,0.2263,0.3693,228.08,0.1058,0.355
C_S_V6_271_5fold_1_20200615153035,0.9,0.7,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153055/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153055/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153055/test/"" ",0.1661,0.3532,0.4263,0.6447,107.5413,0.2557,0.0078,0.0527,0.0969,0.2601,292.2939,0.04,0.5605
C_S_V6_271_5fold_1_20200615153135,0.9,0.9,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153155/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153155/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615153155/test/"" ",0.1223,0.2748,0.3438,0.5904,121.2048,0.1988,0.0059,0.0514,0.0949,0.2464,313.2087,0.036,0.5384
C_S_V6_271_5fold_1_20200615153335,1.0,0.0,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615193816/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615193816/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615193816/test/"" ",0.1996,0.3793,0.4608,0.6928,96.9404,0.2894,0.0104,0.0611,0.1073,0.2854,279.3114,0.0457,0.5449
C_S_V6_271_5fold_1_20200615181116,0.5,0.1,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181133/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181133/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181133/test/"" ",0.163,0.3427,0.418,0.6447,107.233,0.2509,0.015,0.0884,0.1411,0.3121,259.8186,0.0588,0.5137
C_S_V6_271_5fold_1_20200615181216,0.5,0.3,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181235/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181235/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181235/test/"" ",0.1442,0.2926,0.3699,0.5956,115.4953,0.2204,0.0117,0.0871,0.1359,0.327,259.3303,0.0581,0.541
C_S_V6_271_5fold_1_20200615181316,0.5,0.5,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181333/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181333/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181333/test/"" ",0.2059,0.3856,0.4765,0.7011,85.5914,0.2965,0.0156,0.0904,0.1489,0.327,262.1515,0.0621,0.554
C_S_V6_271_5fold_1_20200615181416,0.5,0.7,0.01,0.6,0.1,100,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181432/train/"",run2:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181432/valid/"",run3:""../../output/results/IPTransE/C_S_V6/271_5fold/1/20200615181432/test/"" ",0.163,0.3386,0.4357,0.6635,101.4504,0.2519,0.013,0.0865,0.1378,0.3199,269.0241,0.0572,0.5423
