filename,beta1,beta2,learning_rate,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,c-hits1,c-hits5,c-hits10,c-hits50,c-mr,c-mrr,rel-acc
C_S_V7_271_5fold_1_20200620162747,0.8,2.4,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162754/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162754/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162754/test/"" ",0.1673,0.2876,0.3273,0.4693,176.6727,0.2274,0.0115,0.1615,0.2167,0.3891,221.9724,0.0848,0.7897
C_S_V7_271_5fold_1_20200620162925,0.7,0.7,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162932/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162932/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620162932/test/"" ",0.1757,0.2984,0.349,0.4597,190.4031,0.2358,0.0141,0.1821,0.2365,0.3974,214.9558,0.0947,0.8218
C_S_V7_271_5fold_1_20200620163025,0.8,0.8,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620163033/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620163033/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620163033/test/"" ",0.1733,0.2972,0.3538,0.4898,181.4176,0.2344,0.0109,0.1686,0.225,0.3962,208.6128,0.0881,0.8115
C_S_V7_271_5fold_1_20200620163125,0.9,0.9,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620163132/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620163132/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620163132/test/"" ",0.1661,0.2924,0.3333,0.4813,179.5199,0.2278,0.0115,0.1686,0.2231,0.3872,221.1192,0.0896,0.8038
C_S_V7_271_5fold_1_20200620170123,1.0,0.33,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170130/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170130/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170130/test/"" ",0.1949,0.3057,0.3646,0.4946,182.8195,0.254,0.0141,0.1814,0.241,0.3949,213.5987,0.0972,0.8077
C_S_V7_271_5fold_1_20200620170223,0.1,0.2,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170230/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170230/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170230/test/"" ",0.2323,0.3839,0.4332,0.5439,173.4368,0.3041,0.0205,0.2442,0.3115,0.4878,179.7308,0.1273,0.7949
C_S_V7_271_5fold_1_20200620170323,0.2,0.4,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170330/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170330/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620170330/test/"" ",0.2262,0.373,0.4236,0.5403,169.1709,0.2968,0.0147,0.2365,0.3071,0.4724,184.3865,0.1202,0.7949
C_S_V7_271_5fold_1_20200620171448,1.0,1.0,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171454/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171454/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171454/test/"" ",0.1745,0.2708,0.3141,0.4657,184.3923,0.2285,0.0167,0.1538,0.2083,0.3705,221.7673,0.0874,0.8051
C_S_V7_271_5fold_1_20200620171548,0.1,0.05,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171554/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171554/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171554/test/"" ",0.2214,0.3718,0.4188,0.5427,178.4428,0.2939,0.0263,0.2558,0.3192,0.484,183.0051,0.1331,0.7179
C_S_V7_271_5fold_1_20200620171648,0.2,0.1,0.01,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171655/train/"",run2:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171655/valid/"",run3:""../../output/results/IPTransE/C_S_V7/271_5fold/1/20200620171655/test/"" ",0.2335,0.3791,0.432,0.5415,176.5897,0.3056,0.0173,0.2429,0.3115,0.4801,180.5981,0.1235,0.7808
