filename,train_kg,predict_relation,alignment_module,learning_rate,beta1,beta2,margin,rel_inp_dropout,rel_hid_dropout,stop_metric,rel_hidden_dim,loss_norm,tensorboard,a-hits1,a-hits5,a-hits10,a-hits50,a-mr,a-mrr,kg1-c-hits1,kg1-c-hits5,kg1-c-hits10,kg1-c-hits50,kg1-c-mr,kg1-c-mrr,kg1-rel-acc,kg2-c-hits1,kg2-c-hits5,kg2-c-hits10,kg2-c-hits50,kg2-c-mr,kg2-c-mrr,kg2-rel-acc
C_S_V0_271_5fold_1_20200713021328,kg12,False,sharing,0.01,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021354/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021354/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021354/valid2/"" ",0.2464,0.4286,0.5068,0.6726,103.144,0.3344,0.1329,0.3013,0.3871,0.6022,148.0151,0.2182,-,0.1769,0.4316,0.5462,0.792,49.912,0.2981,-
C_S_V0_271_5fold_1_20200713021428,kg12,False,sharing,0.01,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021456/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021456/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021456/valid2/"" ",0.2402,0.4387,0.518,0.6901,98.5309,0.3355,0.1369,0.3044,0.3929,0.6129,143.4489,0.2196,-,0.1844,0.4364,0.5413,0.7938,48.88,0.3039,-
C_S_V0_271_5fold_1_20200713021528,kg12,False,sharing,0.07,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021557/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021557/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021557/valid2/"" ",0.3116,0.5231,0.5945,0.7322,86.4319,0.4101,0.1636,0.3409,0.428,0.644,132.2676,0.2521,-,0.1951,0.4636,0.5791,0.8213,43.2809,0.3217,-
C_S_V0_271_5fold_1_20200713021628,kg12,False,sharing,0.07,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021659/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021659/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713021659/valid2/"" ",0.3166,0.5141,0.5895,0.739,84.3408,0.4125,0.1529,0.3431,0.4293,0.6484,132.4471,0.2458,-,0.2022,0.4578,0.5733,0.8302,42.1938,0.3272,-
C_S_V0_271_5fold_1_20200713024259,kg1,False,non-sharing,0.1,1.0,2.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024317/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024317/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024317/valid2/"" ",-,-,-,-,-,-,0.1342,0.3111,0.4067,0.6156,144.6044,0.2235,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713024359,kg1,False,non-sharing,0.1,3.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024420/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024420/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024420/valid2/"" ",-,-,-,-,-,-,0.1373,0.3258,0.4089,0.6138,149.2347,0.2272,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713024459,kg1,False,non-sharing,0.1,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024521/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024521/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713024521/valid2/"" ",-,-,-,-,-,-,0.1378,0.3116,0.4053,0.6076,148.7813,0.2245,-,-,-,-,-,-,-,-
C_S_V0_271_5fold_1_20200713030318,kg2,False,non-sharing,0.01,1.0,3.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030340/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030340/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030340/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.204,0.4431,0.56,0.8027,47.1609,0.3195,-
C_S_V0_271_5fold_1_20200713030418,kg2,False,non-sharing,0.07,1.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030440/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030440/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030440/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2098,0.4564,0.5782,0.8218,43.6693,0.3308,-
C_S_V0_271_5fold_1_20200713030518,kg2,False,non-sharing,0.07,2.0,1.0,1.5,0.2,0.1,hits1,200,L2,"tensorboard --logdir=run1:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030543/train/"",run2:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030543/valid1/"",run3:""../../output/results/IPTransE/C_S_V0/271_5fold/1/20200713030543/valid2/"" ",-,-,-,-,-,-,-,-,-,-,-,-,-,0.2093,0.4653,0.5836,0.8187,43.6853,0.3337,-
